Sample	ACCESSION	TAXID	SCIENTIFIC_NAME	COUNTRY	CLOSEST_CITY	CLOSEST_LOCALITY	ESTIMATED_AGE	LONGITUDE	BREED	LATITUDE	GENDER	SAMPLING_DATE	wc2.0_bio_30s_12	wc2.0_bio_30s_01	wc2.0_bio_30s_02	wc2.0_bio_30s_03	wc2.0_bio_30s_04	wc2.0_bio_30s_05	wc2.0_bio_30s_06	wc2.0_bio_30s_07	wc2.0_bio_30s_08	wc2.0_bio_30s_09	wc2.0_bio_30s_10	wc2.0_bio_30s_11	wc2.0_bio_30s_13	wc2.0_bio_30s_14	wc2.0_bio_30s_15	wc2.0_bio_30s_16	wc2.0_bio_30s_17	wc2.0_bio_30s_18	wc2.0_bio_30s_19
UGBT-D5-0687	ERS420613	30523	Bos taurus x Bos indicus	Uganda	HOIMA	KIGOROBYA	96	31.316530	Ankole	1.700780	female	2012	1178	24.087500	9.275000	82.079637	67.994857	29.700001	18.400000	11.300001	24.533333	24.683334	24.983334	23.283333	165.000000	25.000000	44.765579	394.000000	108.000000	157.000000	332.000000
UGBT-D5-0689	ERS420615	30523	Bos taurus x Bos indicus	Uganda	HOIMA	KIGOROBYA	84	31.316530	Ankole	1.700780	female	2012	1178	24.087500	9.275000	82.079637	67.994857	29.700001	18.400000	11.300001	24.533333	24.683334	24.983334	23.283333	165.000000	25.000000	44.765579	394.000000	108.000000	157.000000	332.000000
UGBT-D5-0690	ERS420616	30523	Bos taurus x Bos indicus	Uganda	HOIMA	KIGOROBYA	24	31.316530	Ankole	1.700780	female	2012	1178	24.087500	9.275000	82.079637	67.994857	29.700001	18.400000	11.300001	24.533333	24.683334	24.983334	23.283333	165.000000	25.000000	44.765579	394.000000	108.000000	157.000000	332.000000
UGBT-D5-0691	ERS420617	30523	Bos taurus x Bos indicus	Uganda	HOIMA	KIGOROBYA	120	31.308030	Ankole	1.614550	female	2012	1221	23.037500	10.641667	81.234094	82.051137	29.500000	16.400000	13.100000	22.250000	23.783333	24.183333	22.083333	164.000000	25.000000	45.393686	411.000000	110.000000	153.000000	342.000000
UGBT-D5-0692	ERS420618	30523	Bos taurus x Bos indicus	Uganda	HOIMA	KIGOROBYA	84	31.308030	Ankole	1.614550	female	2012	1221	23.037500	10.641667	81.234094	82.051137	29.500000	16.400000	13.100000	22.250000	23.783333	24.183333	22.083333	164.000000	25.000000	45.393686	411.000000	110.000000	153.000000	342.000000
UGBT-D5-0694	ERS420620	30523	Bos taurus x Bos indicus	Uganda	HOIMA	KIGOROBYA	36	31.308030	Ankole	1.614550	female	2012	1221	23.037500	10.641667	81.234094	82.051137	29.500000	16.400000	13.100000	22.250000	23.783333	24.183333	22.083333	164.000000	25.000000	45.393686	411.000000	110.000000	153.000000	342.000000
UGBT-D5-0695	ERS420621	30523	Bos taurus x Bos indicus	Uganda	HOIMA	KIGOROBYA	96	31.308030	Ankole	1.614550	female	2012	1221	23.037500	10.641667	81.234094	82.051137	29.500000	16.400000	13.100000	22.250000	23.783333	24.183333	22.083333	164.000000	25.000000	45.393686	411.000000	110.000000	153.000000	342.000000
UGBT-D6-0696	ERS420622	30523	Bos taurus x Bos indicus	Uganda	HOIMA	KITOBA	96	31.345320	Ankole	0.753720	female	2012	1222	21.791666	10.316667	84.562843	65.914321	28.000000	15.800000	12.200000	21.483333	22.483333	22.800000	21.116666	167.000000	45.000000	41.801527	448.000000	160.000000	207.000000	329.000000
UGBT-D6-0697	ERS420623	30523	Bos taurus x Bos indicus	Uganda	HOIMA	KITOBA	72	31.345320	Ankole	0.753720	female	2012	1222	21.791666	10.316667	84.562843	65.914321	28.000000	15.800000	12.200000	21.483333	22.483333	22.800000	21.116666	167.000000	45.000000	41.801527	448.000000	160.000000	207.000000	329.000000
UGBT-D6-0698	ERS420624	30523	Bos taurus x Bos indicus	Uganda	HOIMA	KITOBA	72	31.345320	Ankole	0.753720	female	2012	1222	21.791666	10.316667	84.562843	65.914321	28.000000	15.800000	12.200000	21.483333	22.483333	22.800000	21.116666	167.000000	45.000000	41.801527	448.000000	160.000000	207.000000	329.000000
